Initialized in 0.000016 s
Acceleration calculated in 0.000922 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000921 s
Solution calculated in 0.000042 s
Acceleration calculated in 0.000921 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000923 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000923 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000923 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000930 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000930 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000921 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000922 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000930 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000924 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000924 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000923 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000930 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000923 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000924 s
Solution calculated in 0.000034 s
Problem solved in 0.096564 s, 0.000966 per timestep with 1000 particles
Output written in 0.008662 s
Program finished in 0.105606 s. Exiting...
8	0.105608
Initialized in 0.000018 s
Input read in 0.000423 s
Threads setup in 0.000025 s
Acceleration calculated in 0.001287 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000848 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000930 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000937 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000854 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000860 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000942 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000895 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000848 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000865 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000943 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000876 s
Solution calculated in 0.000050 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000851 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000910 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000981 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000855 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000841 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000072 s
Acceleration calculated in 0.000956 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000901 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000862 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000927 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000972 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000851 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000879 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000944 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000896 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000845 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000920 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000949 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000841 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000849 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000835 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000841 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000855 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000940 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000889 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000837 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000844 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000835 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000835 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000842 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000838 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000922 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000941 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000836 s
Solution calculated in 0.000043 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000839 s
Solution calculated in 0.000033 s
Problem solved in 0.089893 s, 0.000899 per timestep with 1000 particles
Output written in 0.003418 s
Program finished in 0.093815 s. Exiting...
9	0.093816
Initialized in 0.000019 s
Input read in 0.000336 s
Threads setup in 0.000027 s
Acceleration calculated in 0.001259 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000789 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000777 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000050 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000859 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000880 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000866 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000879 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000892 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000775 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000789 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000821 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000878 s
Solution calculated in 0.000060 s
Acceleration calculated in 0.000876 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000852 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000768 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000779 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000833 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000883 s
Solution calculated in 0.000042 s
Acceleration calculated in 0.000847 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000878 s
Solution calculated in 0.000043 s
Acceleration calculated in 0.000792 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000782 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000873 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000892 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000797 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000872 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000844 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000780 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000768 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000064 s
Acceleration calculated in 0.000878 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000848 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000850 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000895 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000791 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000798 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000869 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000840 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000808 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000892 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000822 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000770 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000047 s
Acceleration calculated in 0.000789 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000869 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000835 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000784 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000884 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000874 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000776 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000869 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000822 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000785 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.000830 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000885 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000802 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000843 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000871 s
Solution calculated in 0.000041 s
Problem solved in 0.084927 s, 0.000849 per timestep with 1000 particles
Output written in 0.003241 s
Program finished in 0.088595 s. Exiting...
10	0.088596
Initialized in 0.000016 s
Input read in 0.000406 s
Threads setup in 0.000031 s
Acceleration calculated in 0.001250 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000760 s
Solution calculated in 0.000065 s
Acceleration calculated in 0.000820 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000834 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000800 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000056 s
Acceleration calculated in 0.000812 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000815 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000831 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000820 s
Solution calculated in 0.000056 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000817 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000740 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000750 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000811 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000810 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000783 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000815 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000764 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000742 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000809 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000803 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000064 s
Acceleration calculated in 0.000815 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000812 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000782 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000814 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000761 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000056 s
Acceleration calculated in 0.000811 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000746 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000818 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000811 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000793 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000819 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000791 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000816 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000033 s
Problem solved in 0.079809 s, 0.000798 per timestep with 1000 particles
Output written in 0.003358 s
Program finished in 0.083659 s. Exiting...
11	0.083660
Initialized in 0.000017 s
Input read in 0.000447 s
Threads setup in 0.000033 s
Acceleration calculated in 0.001259 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000686 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000686 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000684 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000681 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000693 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000695 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000768 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000788 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000681 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000682 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000693 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000684 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000684 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000730 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000773 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.000787 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000042 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000687 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000702 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000782 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000782 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000763 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000686 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000691 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000758 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000765 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000729 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000767 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000688 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000691 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000682 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000764 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000745 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000767 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000681 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000693 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000052 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000779 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000684 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000769 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000687 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000684 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000692 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000687 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000741 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000767 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000695 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000687 s
Solution calculated in 0.000056 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000774 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000682 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000692 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000680 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000693 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000764 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000775 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000690 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000772 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000690 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000689 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000683 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000766 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000691 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000686 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000741 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000771 s
Solution calculated in 0.000034 s
Problem solved in 0.075745 s, 0.000757 per timestep with 1000 particles
Output written in 0.003358 s
Program finished in 0.079641 s. Exiting...
12	0.079642
Initialized in 0.000017 s
Input read in 0.000333 s
Threads setup in 0.000040 s
Acceleration calculated in 0.001502 s
Solution calculated in 0.000030 s
Acceleration calculated in 0.000929 s
Solution calculated in 0.000029 s
Acceleration calculated in 0.000927 s
Solution calculated in 0.000029 s
